year,hour,평균_공포탐욕지수
2024.0,21.0,27.455
2024.0,7.0,10.363333333333335
2023.0,17.0,27.5
2024.0,12.0,14.076666666666666
2023.0,9.0,12.562
2025.0,22.0,3.64
2025.0,5.0,9.855
2024.0,3.0,1.8599999999999999
2025.0,21.0,6.49
2025.0,10.0,20.023333333333333
,,41.122499999999995
2024.0,5.0,7.483333333333334
2023.0,16.0,8.459999999999999
2025.0,9.0,23.562142857142867
2025.0,7.0,2.55
2024.0,9.0,20.823049645390064
2024.0,10.0,15.216162790697679
2024.0,2.0,38.300000000000004
2024.0,23.0,22.033333333333335
2024.0,22.0,32.274
2023.0,3.0,16.53
2025.0,8.0,13.984444444444444
2025.0,19.0,26.256666666666664
2025.0,15.0,22.720000000000002
2023.0,20.0,54.605
2023.0,11.0,20.425454545454546
2025.0,13.0,7.896470588235295
2023.0,18.0,16.76
2023.0,5.0,28.13
2025.0,12.0,22.702173913043477
2024.0,0.0,9.258333333333333
2024.0,1.0,21.266666666666666
2024.0,11.0,20.335277777777772
2024.0,14.0,14.691927710843371
2023.0,10.0,24.66444444444444
2025.0,20.0,5.56
2024.0,15.0,17.26014084507042
2025.0,11.0,21.164761904761903
2024.0,6.0,26.983333333333334
2024.0,13.0,20.90982758620689
2025.0,17.0,14.914285714285715
2024.0,19.0,15.343333333333335
2024.0,18.0,24.225
2025.0,1.0,29.38
2025.0,18.0,5.975
2024.0,20.0,19.341666666666665
2023.0,14.0,24.896250000000002
2023.0,12.0,18.9325
2023.0,13.0,9.11
2025.0,14.0,12.247333333333332
2023.0,15.0,22.94
2024.0,8.0,14.943703703703706
2025.0,2.0,36.64
2024.0,16.0,15.175588235294121
2024.0,17.0,21.053600000000003
2025.0,0.0,15.39
2025.0,16.0,25.601
