month,평균_공포탐욕지수
2023-05,36.66166666666667
2023-06,16.982499999999998
2023-07,21.684615384615384
2023-08,19.377499999999998
2023-09,8.145
2023-10,27.247142857142858
2023-11,20.442857142857143
2023-12,16.743333333333336
2024-01,13.061333333333332
2024-02,31.649166666666662
2024-03,20.3130303030303
2024-04,19.236341463414636
2024-05,21.334137931034476
2024-06,20.27434782608696
2024-07,21.66541666666667
2024-08,19.768125
2024-09,18.778953488372093
2024-10,16.331549295774654
2024-11,17.1903381642512
2024-12,16.757125000000002
2025-01,15.51927536231884
2025-02,18.281369863013705
2025-03,24.304915254237294
